iter	Passed	Remaining
0	294	293731
1	501	250047
2	740	246091
3	1001	249274
4	1248	248426
5	1485	246015
6	1790	254038
7	2038	252737
8	2270	250000
9	2545	252042
10	2779	249861
11	3018	248532
12	3251	246850
13	3504	246842
14	3739	245547
15	3967	244022
16	4202	242995
17	4447	242636
18	4693	242330
19	4920	241089
20	5149	240053
21	5389	239576
22	5632	239257
23	5876	238983
24	6122	238782
25	6323	236872
26	6520	234982
27	6734	233776
28	6934	232174
29	7135	230727
30	7364	230195
31	7592	229683
32	7815	229019
33	8036	228331
34	8257	227667
35	8478	227033
36	8697	226359
37	8931	226099
38	9149	225443
39	9383	225205
40	9631	225274
41	9853	224757
42	10078	224308
43	10312	224057
44	10533	223540
45	10752	223000
46	10971	222471
47	11227	222683
48	11463	222490
49	11684	221996
50	11907	221578
51	12126	221075
52	12348	220647
53	12566	220152
54	12791	219788
55	13024	219553
56	13243	219103
57	13464	218681
58	13685	218265
59	13908	217893
60	14152	217855
61	14392	217743
62	14620	217451
63	14850	217186
64	15095	217149
65	15335	217017
66	15589	217087
67	15813	216731
68	16045	216492
69	16289	216412
70	16500	215905
71	16725	215572
72	16981	215638
73	17220	215488
74	17465	215407
75	17729	215552
76	17959	215281
77	18166	214738
78	18376	214239
79	18602	213934
80	18830	213650
81	19087	213685
82	19342	213704
83	19570	213412
84	19811	213269
85	20018	212754
86	20239	212397
87	20479	212237
88	20740	212296
89	20958	211918
90	21176	211533
91	21403	211238
92	21665	211301
93	21913	211210
94	22151	211025
95	22376	210715
96	22606	210450
97	22837	210198
98	23062	209894
99	23286	209576
100	23509	209260
101	23739	209001
102	23965	208706
103	24188	208389
104	24410	208070
105	24634	207770
106	24863	207501
107	25132	207578
108	25381	207478
109	25606	207181
110	25836	206925
111	26101	206946
112	26353	206861
113	26587	206632
114	26814	206355
115	27056	206192
116	27327	206241
117	27582	206168
118	27815	205931
119	28082	205938
120	28360	206021
121	28592	205771
122	28820	205491
123	29050	205230
124	29284	204993
125	29515	204731
126	29749	204498
127	30023	204536
128	30279	204444
129	30509	204180
130	30736	203891
131	30965	203621
132	31190	203326
133	31432	203139
134	31655	202832
135	31882	202549
136	32108	202257
137	32328	201936
138	32551	201634
139	32776	201338
140	32997	201025
141	33219	200718
142	33446	200445
143	33690	200269
144	33957	200232
145	34205	200080
146	34456	199943
147	34705	199792
148	34953	199634
149	35201	199474
150	35447	199305
151	35704	199192
152	35970	199131
153	36221	198985
154	36466	198799
155	36715	198640
156	36960	198458
157	37203	198261
158	37449	198081
159	37697	197913
160	37940	197716
161	38187	197536
162	38434	197359
163	38675	197151
164	38921	196963
165	39164	196768
166	39410	196579
167	39658	196404
168	39906	196226
169	40147	196013
170	40395	195837
171	40641	195646
172	40883	195439
173	41128	195243
174	41374	195052
175	41617	194844
176	41864	194659
177	42111	194467
178	42353	194259
179	42597	194055
180	42855	193916
181	43116	193785
182	43363	193597
183	43625	193471
184	43882	193319
185	44164	193277
186	44414	193097
187	44666	192923
188	44937	192825
189	45199	192690
190	45443	192481
191	45694	192298
192	45939	192089
193	46190	191904
194	46442	191725
195	46697	191553
196	46940	191335
197	47190	191146
198	47433	190924
199	47680	190721
200	47945	190589
201	48199	190410
202	48466	190283
203	48726	190129
204	49002	190034
205	49257	189856
206	49517	189697
207	49764	189486
208	50022	189319
209	50303	189237
210	50581	189141
211	50852	189016
212	51096	188794
213	51328	188525
214	51563	188265
215	51785	187962
216	52012	187677
217	52236	187379
218	52454	187064
219	52678	186770
220	52900	186468
221	53121	186163
222	53347	185878
223	53570	185583
224	53795	185295
225	54020	185008
226	54245	184722
227	54468	184428
228	54690	184134
229	54910	183830
230	55137	183551
231	55361	183266
232	55580	182961
233	55801	182665
234	56023	182374
235	56246	182087
236	56471	181803
237	56699	181533
238	56923	181249
239	57141	180948
240	57367	180672
241	57592	180392
242	57818	180118
243	58046	179850
244	58271	179569
245	58493	179284
246	58715	178999
247	58937	178713
248	59160	178432
249	59381	178145
250	59609	177880
251	59835	177605
252	60061	177336
253	60290	177072
254	60515	176800
255	60738	176521
256	60966	176255
257	61191	175985
258	61418	175719
259	61646	175456
260	61874	175193
261	62104	174936
262	62329	174663
263	62551	174384
264	62772	174104
265	62997	173835
266	63219	173557
267	63438	173273
268	63660	172995
269	63885	172726
270	64109	172456
271	64334	172190
272	64557	171917
273	64777	171637
274	65001	171366
275	65229	171108
276	65444	170816
277	65664	170539
278	65885	170263
279	66118	170019
280	66315	169682
281	66519	169364
282	66721	169043
283	66928	168733
284	67133	168422
285	67337	168107
286	67540	167791
287	67740	167470
288	67944	167156
289	68146	166840
290	68350	166531
291	68559	166232
292	68762	165921
293	68969	165619
294	69172	165310
295	69380	165012
296	69581	164700
297	69790	164405
298	69994	164101
299	70199	163797
300	70405	163499
301	70622	163227
302	70831	162935
303	71030	162622
304	71277	162419
305	71504	162171
306	71731	161921
307	71956	161669
308	72188	161430
309	72417	161186
310	72648	160948
311	72868	160684
312	73089	160423
313	73309	160161
314	73536	159913
315	73758	159655
316	73977	159389
317	74201	159136
318	74426	158885
319	74647	158626
320	74874	158380
321	75101	158132
322	75328	157886
323	75551	157632
324	75777	157383
325	76004	157137
326	76227	156883
327	76452	156634
328	76682	156394
329	76909	156148
330	77134	155900
331	77364	155660
332	77584	155401
333	77831	155196
334	78064	154964
335	78290	154717
336	78515	154468
337	78742	154223
338	78968	153977
339	79196	153734
340	79424	153492
341	79646	153238
342	79866	152980
343	80090	152729
344	80313	152479
345	80535	152225
346	80763	151984
347	80988	151737
348	81233	151526
349	81461	151284
350	81689	151043
351	81914	150797
352	82145	150560
353	82370	150314
354	82597	150071
355	82822	149825
356	83048	149579
357	83271	149330
358	83492	149077
359	83717	148831
360	83942	148584
361	84166	148338
362	84391	148092
363	84616	147846
364	84841	147600
365	85067	147357
366	85292	147111
367	85515	146864
368	85742	146621
369	85967	146377
370	86191	146130
371	86422	145896
372	86648	145653
373	86870	145403
374	87096	145160
375	87321	144916
376	87548	144675
377	87771	144428
378	87998	144187
379	88224	143944
380	88451	143704
381	88676	143461
382	88906	143224
383	89131	142982
384	89355	142736
385	89582	142496
386	89806	142251
387	90026	142000
388	90253	141760
389	90475	141512
390	90697	141264
391	90923	141024
392	91142	140772
393	91363	140523
394	91588	140281
395	91810	140034
396	92032	139787
397	92252	139537
398	92477	139296
399	92703	139054
400	92931	138818
401	93151	138568
402	93367	138314
403	93592	138071
404	93812	137822
405	94031	137572
406	94251	137324
407	94472	137077
408	94698	136838
409	94922	136595
410	95147	136354
411	95370	136111
412	95605	135884
413	95835	135651
414	96055	135403
415	96290	135177
416	96512	134932
417	96733	134686
418	96951	134435
419	97170	134187
420	97393	133944
421	97621	133708
422	97845	133467
423	98072	133230
424	98298	132992
425	98525	132755
426	98755	132521
427	98975	132275
428	99196	132030
429	99417	131785
430	99639	131543
431	99863	131301
432	100086	131059
433	100308	130817
434	100530	130574
435	100752	130331
436	100979	130095
437	101218	129874
438	101457	129653
439	101698	129434
440	101933	129208
441	102189	129007
442	102415	128771
443	102645	128538
444	102871	128299
445	103096	128061
446	103317	127817
447	103535	127570
448	103753	127323
449	103974	127079
450	104196	126837
451	104416	126593
452	104639	126352
453	104858	126106
454	105084	125870
455	105306	125628
456	105528	125387
457	105762	125160
458	106004	124942
459	106230	124705
460	106473	124488
461	106707	124261
462	106938	124029
463	107182	123814
464	107421	123592
465	107698	123413
466	107945	123201
467	108188	122983
468	108424	122758
469	108660	122532
470	108929	122342
471	109172	122124
472	109413	121904
473	109646	121675
474	109870	121435
475	110109	121212
476	110354	120996
477	110606	120787
478	110837	120556
479	111132	120393
480	111360	120158
481	111586	119920
482	111848	119722
483	112087	119498
484	112314	119262
485	112550	119035
486	112783	118804
487	113009	118567
488	113345	118445
489	113671	118311
490	113932	118108
491	114158	117870
492	114411	117660
493	114651	117436
494	114877	117197
495	115161	117019
496	115441	116834
497	115697	116626
498	115991	116456
499	116350	116350
500	116582	116116
501	116821	115890
502	117070	115673
503	117294	115433
504	117520	115193
505	117745	114952
506	117968	114711
507	118192	114470
508	118419	114231
509	118641	113989
510	118864	113747
511	119087	113504
512	119310	113263
513	119534	113022
514	119756	112779
515	119981	112540
516	120204	112299
517	120434	112064
518	120679	111843
519	120901	111600
520	121129	111365
521	121354	111125
522	121577	110884
523	121792	110636
524	122016	110395
525	122239	110155
526	122463	109915
527	122687	109674
528	122905	109429
529	123131	109191
530	123372	108966
531	123592	108724
532	123858	108521
533	124102	108299
534	124336	108068
535	124570	107837
536	124803	107605
537	125050	107385
538	125278	107149
539	125504	106910
540	125740	106682
541	125972	106449
542	126226	106234
543	126471	106012
544	126751	105820
545	127041	105635
546	127318	105439
547	127602	105248
548	127884	105056
549	128170	104867
550	128421	104648
551	128670	104428
552	128912	104202
553	129144	103968
554	129366	103726
555	129607	103499
556	129839	103265
557	130075	103034
558	130300	102795
559	130542	102568
560	130765	102327
561	130990	102088
562	131230	101861
563	131479	101640
564	131719	101412
565	131968	101191
566	132194	100952
